mu,sigma,p5,p50,p95
0.0185,0.01,53.24001072636491,56.015159258804516,58.96756116935912
0.0185,0.0328,46.933501633386825,55.717851662566105,65.96014286926484
0.0185,0.0555,40.913492251576,55.167363974870256,73.69326150632666
0.0185,0.0783,35.93981368226303,54.437293594926984,82.09558757126143
0.0185,0.1011,31.47297515081705,52.704721241677404,88.90679129333434
0.0385,0.01,64.99943247474718,68.47884882608562,72.06508581573671
0.0385,0.0328,57.300534179333646,68.00350246944967,80.53136155892146
0.0385,0.0555,50.162293513822675,67.40701850383296,89.25386462250513
0.0385,0.0783,44.34715810505555,66.16492531492649,99.8063552405706
0.0385,0.1011,38.398335988898545,64.65294098345032,109.4237479438126
0.0585,0.01,79.32559231437314,83.5948175070861,87.97140567421013
0.0585,0.0328,70.21280748350603,83.401453871406,98.56490554038372
0.0585,0.0555,61.2494899802002,82.14279102078204,109.85712375667163
0.0585,0.0783,54.243514323383735,81.48838964040752,122.09979669047947
0.0585,0.1011,46.95661747879403,78.93802336320888,133.45407230424266
0.0785,0.01,96.9508928500217,102.10548330800523,107.54026812114965
0.0785,0.0328,85.74588218523529,101.31287469219816,120.5242040428292
0.0785,0.0555,74.80104405213625,100.0022303743055,133.596592882309
0.0785,0.0783,66.53789462513569,99.6752424228753,147.05866078122443
0.0785,0.1011,57.41829299593481,97.2739263537795,165.94323643240935
0.0985,0.01,118.3350640380749,124.6066817911361,131.32356922117228
0.0985,0.0328,104.72366318607274,124.19003924271834,147.74621537614698
0.0985,0.0555,92.35563556592801,122.33204834771061,162.79142841396285
0.0985,0.0783,79.89573244101734,120.22678294786101,181.35067064599065
0.0985,0.1011,70.59078263581831,118.47717637931865,198.14268387878886
